ANIO,MES,BARRIO,USO,ESTRATO,PROMEDIO,INMUEBLES
2017,11,Colon,Oficial,Oficial,356.67,3
2018,03,Vereda La Trinidad,Suministro a Constru,Suministro a Constru,19.64,22
2016,07,Versalles,Residencial,5,9.56,384
2017,04,Caserio La Enea,Residencial,4,7.89,35
2017,09,PaloNegro,Residencial,4,10.57,134
2016,01,Vereda Quiebra de Velez,Rural,5,5,1
2017,11,Vereda Alto del Naranjo,Rural,4,1,2
2016,04,Los Alcazares,Servicios Especiales,Servicios Especiales,0,1
2017,11,Los Alcazares,Oficial,Oficial,23.5,2
2016,05,Vereda La Siria,Rural,4,7.5,2
2018,05,Vereda La Argelia,Rural,3,6.85,13
2016,12,Bella Montaña (Hosp G. - Esc),Oficial,Oficial,77.5,2
2016,12,La Argentina,Residencial,5,7.4,48
2018,06,Guayacanes,Suministro a Constru,Suministro a Constru,0,1
2017,08,Vereda Patio Bonito,Rural,4,10,2
2016,07,Vereda La Cabaña,Oficial,Oficial,32.22,9
2016,08,Laureles,Suministro a Constru,Suministro a Constru,7,1
2016,10,Vereda La Linda,Comercial,Comercial,38.5,2
2016,09,Castellana,Residencial,4,10.23,78
2016,01,Vereda Bajo Tablazo,Servicios Especiales,Servicios Especiales,91,2
2017,12,Caserio La Enea,Comercial,Comercial,1,1
2017,06,CampoHermoso (Univ. Mzles),Oficial,Oficial,96,4
2017,02,Santa Helena - Conjunto La Estacion,Comercial,Comercial,41.64,39
2017,06,Vereda Cuchilla del Salado,Servicios Especiales,Servicios Especiales,21,1
2017,09,Puerta del Sol,Suministro a Constru,Suministro a Constru,135,2
2016,01,Portal de los Alcazares,Comercial,Comercial,32,1
2017,04,La Francia,Residencial,4,16.24,29
2017,03,Vereda La Argelia,Residencial,3,23,1
2017,10,PaloNegro,Residencial,3,9.92,335
2017,02,Sierra Morena,Residencial,1,8.64,61
2016,05,Gonzalez,Residencial,2,15.15,61
2016,12,Vereda Hoyo Frio,Industrial,Industrial,403,3
2017,10,Vereda La Cabaña,Industrial,Industrial,20.43,7
2016,09,Villa del Rio,Residencial,3,5,1
2017,02,Morrogacho,Rural,2,10.4,10
2017,01,La Carola,Servicios Especiales,Servicios Especiales,34,1
2017,11,Comuneros,Residencial,2,10.36,590
2016,08,Guamal,Oficial,Oficial,123,1
2016,12,Lleras,Residencial,2,19,1
2017,04,Vereda La China,Rural,2,12.92,12
2016,02,Vereda La Pola,Rural,1,14.76,41
2018,05,La Toscana,Residencial,2,11.1,131
2017,07,Minitas,Oficial,Oficial,15.6,5
2017,11,Vereda Java,Industrial,Industrial,0.67,3
2018,04,Vereda La Pola,Rural,4,25.5,4
2018,04,Centro,Residencial,2,38,1
2016,10,Panorama,Comercial,Comercial,1,1
2016,04,Vereda La Aurora,Comercial,Comercial,7,1
2018,01,Vereda Manzanares,Oficial,Oficial,4.5,2
2016,06,La Asuncion,Servicios Especiales,Servicios Especiales,218,1
2016,05,Vereda Cuchilla del Salado,Rural,3,12.96,73
2018,04,San Jorge,Comercial,Comercial,13.15,55
2017,08,San Antonio,Industrial,Industrial,4,1
2016,06,Chachafruto,Residencial,6,15.02,49
2016,10,Bosconia,Comercial,Comercial,80,1
2018,06,Bosconia,Comercial,Comercial,89,1
2017,02,San Jose,Comercial,Comercial,9.21,33
2016,04,Colombia,Residencial,4,11.31,32
2016,02,La Florida,Residencial,1,10.39,28
2017,01,Vereda Alto Corinto,Rural,2,3,1
2016,06,La Argentina,Residencial,5,7.29,48
2017,06,Laureles,Servicios Especiales,Servicios Especiales,16.55,11
2016,08,Vereda Alto Corinto,Oficial,Oficial,52,1
2017,06,La Toscana,Servicios Especiales,Servicios Especiales,9,1
2016,01,Jesus de la Buena Esperanza,Residencial,3,15.88,238
2016,08,La Avanzada,Residencial,2,18.78,58
2017,02,La Leonora,Residencial,4,13.28,362
2016,12,Vereda La Aurora,Oficial,Oficial,2,3
2016,10,Vereda Quiebra de Velez,Rural,2,15.43,35
2017,06,La Leonora,Suministro a Constru,Suministro a Constru,335,1
2018,03,PaloNegro,Residencial,4,10.75,134
2017,02,Zona Industrial,Suministro a Constru,Suministro a Constru,17,1
2018,04,Vereda El Guineo,Rural,3,2,1
2016,07,Vereda Agua Bonita,Rural,2,12,10
2016,10,Chipre,Residencial,4,9.66,2166
2017,06,Estambul,Residencial,2,11.02,66
2016,08,Los Cedros,Residencial,3,12.88,403
2018,06,La Carola,Servicios Especiales,Servicios Especiales,22,1
2018,04,Panorama,Residencial,3,7.97,128
2016,07,San Jose,Residencial,1,8,1
2016,03,Arboleda,Comercial,Comercial,11.33,42
2016,03,Sacatin,Residencial,4,10.47,43
2016,12,Vereda Java,Industrial,Industrial,6,3
2018,01,Vereda El Arenillo,Rural,5,18.57,23
2017,12,Colon,Industrial,Industrial,61.5,2
2016,10,Vereda Quiebra del Billar,Rural,1,10.33,3
2016,05,Vereda Alto Corinto,Residencial,1,9.39,149
2017,12,La Estrella,Servicios Especiales,Servicios Especiales,28.58,12
2016,08,La Enea,Comercial,Comercial,14.16,195
2017,11,Vereda Mal Paso,Rural,4,10,1
2017,11,Estambul,Residencial,2,11.42,66
2016,12,Colombia,Oficial,Oficial,11.75,4
2017,08,Vereda La Cabaña,Rural,3,13.29,95
2018,05,Vereda La Trinidad,Comercial,Comercial,6,2
2016,10,CampoAmor,Comercial,Comercial,8.91,43
2017,04,Vereda La China,Comercial,Comercial,11,1
2016,11,Vereda La Linda,Rural,3,11.8,40
2016,05,Versalles,Residencial,4,12.46,288
2016,01,Vereda Alto Tablazo,Rural,2,18.76,70
2018,03,Vereda Farallones,Rural,3,5,1
2016,12,Fatima,Servicios Especiales,Servicios Especiales,37,4
2016,06,La Carola,Residencial,3,10.77,1562
2018,02,Colseguros,Oficial,Oficial,80,1
2018,03,El Trebol,Suministro a Constru,Suministro a Constru,31,3
2016,08,Alta Suiza,Oficial,Oficial,21.5,4
2017,03,Betania,Residencial,1,15.5,2
2016,12,La Rambla,Residencial,2,11,9
2017,02,Versalles,Residencial,4,12.31,287
2016,06,Jesus de la Buena Esperanza,Residencial,1,14.39,147
2017,02,Bella Montaña (Hosp G. - Esc),Industrial,Industrial,750,1
2016,05,Vereda La Palma,Rural,3,11.81,21
2016,01,Vereda El Guineo,Industrial,Industrial,6,1
2017,05,Vereda Morrogacho,Rural,2,15.37,27
2018,02,La Francia,Servicios Especiales,Servicios Especiales,57.25,4
2016,07,Asturias,Comercial,Comercial,65.71,28
2018,03,Bosques de Niza,Residencial,6,18,1
2018,05,Vereda La Cabaña,Servicios Especiales,Servicios Especiales,66.5,2
2016,12,Palermo,Comercial,Comercial,27.61,31
2018,01,El Campin,Residencial,2,18,5
2016,07,La Panamericana,Residencial,1,12,1
2017,10,Fanny Gonzalez,Residencial,1,27,1
2018,05,Villa Nueva,Residencial,3,8.67,3
2016,11,Lleras,Residencial,5,14.8,10
2016,06,San Ignacio,Residencial,2,15.81,170
2018,04,Vereda La Aurora,Oficial,Oficial,11.67,3
2017,01,Vereda La Argelia,Rural,3,8.56,9
2017,11,Bengala,Servicios Especiales,Servicios Especiales,12,1
2016,01,Villapilar,Oficial,Oficial,2170.5,2
2016,09,La Rambla,Industrial,Industrial,460,1
2016,06,Alta Suiza,Oficial,Oficial,19,4
2017,06,Los Rosales,Servicios Especiales,Servicios Especiales,15.5,8
2017,04,Bosques del Norte,Oficial,Oficial,45.67,6
2016,05,Panorama,Residencial,2,12.67,216
2018,02,Vereda Agua Bonita,Rural,5,0,1
2017,09,Juanchito,Residencial,2,8.5,2
2016,05,Camelia,Residencial,5,11.6,10
2017,12,Palogrande,Suministro a Constru,Suministro a Constru,52,3
2017,09,VillaHermosa - La Playa,Oficial,Oficial,15,4
2016,09,CampoHermoso (Univ. Mzles),Residencial,3,12.91,224
2017,09,Centenario,Oficial,Oficial,196.88,8
2016,10,Bengala,Residencial,1,7.44,243
2018,01,Vereda El Aventino,Rural,1,14.49,43
2016,10,El Sol,Residencial,4,10.45,729
2016,11,San Jorge,Residencial,4,13.57,435
2018,04,Santa Helena - Conjunto La Estacion,Residencial,5,8.79,189
2018,04,Alta Suiza,Residencial,6,7.65,515
2016,02,Vereda Agua Bonita,Rural,4,225,1
2017,08,Baja Leonora,Residencial,4,1,1
2016,03,Bella Montaña (Hosp G. - Esc),Residencial,2,18.67,3
2017,11,La Rambla,Industrial,Industrial,206,1
2017,09,El Paraiso,Residencial,1,13.03,478
2017,12,El Palmar,Residencial,4,6,1
2017,07,Vereda La Trinidad,Oficial,Oficial,111,1
2017,04,Estambul,Rural,1,11.89,9
2016,01,Vereda Agua Bonita,Rural,2,16.2,10
2016,12,San Joaquin,Residencial,2,12.1,39
2016,01,San Jose,Comercial,Comercial,11.94,33
2017,10,Comuneros,Residencial,2,10.39,590
2018,07,Granjas de Estambul,Residencial,2,6.67,3
2018,07,Baja Leonora,Residencial,4,2,1
2017,09,Vivienda Popular,Residencial,3,13.8,249
2017,09,Milan,Residencial,4,13.18,17
2018,01,Estambul,Residencial,3,8.7,1088
2016,11,Cervantes,Residencial,2,18.11,9
2017,10,Centro,Servicios Especiales,Servicios Especiales,44.48,23
2017,11,Velez,Residencial,3,12.9,338
2016,01,Vereda El Guineo,Rural,2,22.8,5
2016,08,Las Americas,Residencial,4,10.83,12
2016,03,Vereda El Aventino,Rural,3,12.63,24
2018,04,El Trebol,Residencial,1,37.5,2
2016,11,Vereda La Francia,Rural,5,5,1
2017,06,El Bosque,Servicios Especiales,Servicios Especiales,49.75,4
2017,10,las Delicias,Residencial,4,8.7,10
2017,08,Sinai,Residencial,1,8,2
2016,03,Chipre,Industrial,Industrial,118.75,4
2016,12,VillaLuz,Residencial,3,13.92,77
2017,02,Vereda San Mateo,Rural,1,3,2
2017,01,Los Cedros,Comercial,Comercial,12.5,8
2017,10,Vereda Cueva Santa,Rural,2,13.38,16
2016,05,Vereda La Palma,Industrial,Industrial,18,1
2016,07,Vereda Agua Bonita,Rural,4,246,1
2017,03,Vereda La Cabaña,Rural,2,9.02,145
2016,07,El Trebol,Residencial,6,13.48,415
2017,03,Nevado,Servicios Especiales,Servicios Especiales,58,1
2017,05,Galan,Residencial,1,10.22,342
2016,12,Palogrande,Comercial,Comercial,13.42,210
2016,08,Tejares,Comercial,Comercial,41,3
2016,10,Vereda La Linda,Rural,3,10.85,40
2018,04,Las Americas,Residencial,4,11.25,12
2018,02,Colombia,Oficial,Oficial,49.75,4
2018,06,las Colinas,Residencial,1,46.36,11
2016,04,San Sebastian(IV Etapa),Comercial,Comercial,7,3
2016,09,Versalles,Residencial,3,12.68,73
2016,11,Vereda La Aurora,Rural,3,10.81,27
2017,07,El Sol,Residencial,2,22,1
2017,04,Vereda Alto del Zarzo,Rural,2,7,3
2017,06,Parque Castilla(Rincon Castilla),Residencial,3,4.91,55
2017,07,Vereda La Aurora,Rural,3,12.87,30
2017,11,La Avanzada,Suministro a Constru,Suministro a Constru,86,1
2018,01,La Toscana,Residencial,3,8.93,179
2018,06,La Enea,Industrial,Industrial,453,8
2018,03,Cervantes,Residencial,2,15.92,12
2017,05,Vereda San Peregrino,Oficial,Oficial,58,4
2018,03,Vereda El Aventino,Rural,2,16.03,66
2018,06,Vereda La Aurora,Rural,4,0,1
2016,10,CampoHermoso (Univ. Mzles),Industrial,Industrial,22,1
2017,03,Vereda La Trinidad,Rural,6,15.88,96
2016,10,Cervantes,Residencial,2,19.56,9
2018,02,Samaria,Oficial,Oficial,3,1
2016,12,Vereda Quiebra del Billar,Rural,1,5.33,3
2017,01,Castellana,Residencial,6,18.29,28
2016,11,Vereda La Argelia,Industrial,Industrial,10,1
2016,07,Vereda Bajo Corinto,Residencial,4,18,1
2016,04,Vereda Farallones,Oficial,Oficial,34,1
2018,02,Gonzalez,Residencial,2,13.67,61
2017,12,Vereda Cueva Santa,Oficial,Oficial,20,1
2017,05,Chachafruto,Residencial,6,16,49
2018,05,CampoHermoso (Univ. Mzles),Residencial,4,10.42,1999
2018,05,Los Alamos,Residencial,3,19,1
2017,04,Granjas y Viviendas,Residencial,2,9.5,4
2016,09,Milan,Oficial,Oficial,35,1
2016,05,Arboleda,Residencial,1,13,1
2017,12,Alhambra,Servicios Especiales,Servicios Especiales,0,1
2016,03,San Joaquin,Oficial,Oficial,38,4
2017,11,Vereda El Rosario,Industrial,Industrial,18,4
2017,10,Vereda Farallones,Oficial,Oficial,30,1
2017,11,Vereda La China,Oficial,Oficial,14,2
2016,08,Chipre,Servicios Especiales,Servicios Especiales,7.67,3
2016,02,Villapilar,Comercial,Comercial,17.88,25
2017,12,La Enea,Comercial,Comercial,13.1,198
2018,01,VillaHermosa - La Playa,Residencial,1,22,3
2018,05,Viveros,Suministro a Constru,Suministro a Constru,5,2
2018,06,Persia,Residencial,1,7.79,84
2017,12,La Florida,Comercial,Comercial,67.6,5
2016,11,Vereda Guacas,Rural,3,15.07,15
2017,11,San Jose,Comercial,Comercial,9.52,33
2016,05,Lleras,Residencial,6,7.8,84
2017,02,Vereda San Peregrino,Suministro a Constru,Suministro a Constru,1.67,3
2016,06,Sacatin,Servicios Especiales,Servicios Especiales,6,1
2017,12,Viveros,Residencial,3,15.81,286
2016,11,Vereda Hoyo Frio,Rural,3,9,2
2017,01,Pio XII,Comercial,Comercial,18,1
2016,11,Los Cedros,Residencial,3,13.31,404
2017,06,Colseguros,Residencial,5,7.74,270
2017,10,Granjas y Viviendas,Residencial,2,14,4
2016,05,Vereda El Rosario,Rural,5,15.45,20
2016,05,Peralonso,Industrial,Industrial,20,1
2017,10,Nogales,Comercial,Comercial,1.75,4
2018,03,La Estrella,Servicios Especiales,Servicios Especiales,27.75,12
2016,07,Fundadores,Oficial,Oficial,97.9,10
2017,09,Vereda La China,Rural,5,19.5,2
2017,09,Los Alcazares,Residencial,4,10.75,861
2017,11,Vereda Santa Clara,Industrial,Industrial,7,1
2017,06,Vereda La Aurora,Rural,3,10.41,29
2016,09,Kennedy,Residencial,1,16.33,3
2018,04,Vereda El Arenillo,Oficial,Oficial,191.67,3
2016,05,El Sol,Residencial,2,12,1
2016,01,La Rambla,Residencial,2,15.44,9
2018,07,Baja Leonora,Comercial,Comercial,3.6,5
2017,02,Villapilar,Comercial,Comercial,15.54,26
2016,01,Vereda La Aurora,Rural,2,14.5,101
2017,01,Comuneros,Residencial,2,10.73,587
2016,02,Vereda La Argelia,Rural,2,11.38,24
2018,03,Milan,Residencial,5,9.18,612
2016,12,MalHabar,Residencial,1,16.5,2
2016,05,Minitas,Residencial,1,17.8,5
2016,09,Guayacanes,Residencial,6,8.79,1494
2017,12,Arboleda,Servicios Especiales,Servicios Especiales,94,7
2018,02,Samaria,Residencial,1,10.68,550
2016,03,Cervantes,Residencial,1,11.31,198
2017,10,Laureles,Servicios Especiales,Servicios Especiales,20.91,11
2017,10,Guamal,Residencial,1,13.75,4
2016,01,Vereda Morrogacho,Rural,4,74,1
2018,02,Vereda La Argelia,Comercial,Comercial,12,2
2016,02,Los Alcazares,Residencial,3,13.5,2
2016,06,Residencias Manizales,Residencial,3,13.71,7
2016,09,Vereda La Pola,Rural,3,4,2
2017,04,las Delicias,Oficial,Oficial,45.67,3
2018,03,Corinto Urbano,Residencial,3,6,1
2017,06,La Rambla,Residencial,5,9.9,602
2016,04,Ciudadela La Linda,Residencial,2,9.62,927
2016,06,Vereda La Aurora,Industrial,Industrial,32,6
2018,03,Niño Jesus de Praga,Residencial,1,12,3
2016,09,La Estrella,Comercial,Comercial,17.72,140
2017,01,Vereda San Peregrino,Suministro a Constru,Suministro a Constru,7.33,3
2016,08,MalHabar,Residencial,1,11,2
2016,04,Chachafruto,Residencial,6,14.04,49
2016,03,Los Rosales,Residencial,6,11.16,113
2018,06,Los Agustinos,Residencial,5,26.71,7
2018,01,Vereda La Palma,Residencial,2,14.55,11
2018,02,Los Rosales,Residencial,5,10.08,173
2016,09,Arboleda,Residencial,6,11.91,218
2017,06,Chipre,Servicios Especiales,Servicios Especiales,4.75,4
2016,12,La Avanzada,Comercial,Comercial,16,1
2016,05,Vereda La Linda,Oficial,Oficial,575.33,3
2017,06,Vereda Agua Bonita,Rural,2,11.36,11
2017,07,Puerta del Sol,Suministro a Constru,Suministro a Constru,103,2
2017,02,Sacatin,Residencial,4,9.88,43
2017,08,Vereda El Arenillo,Oficial,Oficial,127.67,3
2018,03,Santa Helena - Conjunto La Estacion,Suministro a Constru,Suministro a Constru,83,1
2017,11,Vereda Farallones,Industrial,Industrial,4.5,2
2018,02,La Rambla,Comercial,Comercial,12.64,154
2016,02,Bosques de Niza,Residencial,4,10.38,462
2017,01,Zona Industrial,Rural,2,4,2
2016,09,Betania,Residencial,3,10.96,295
2018,03,Vereda La Linda,Rural,5,5,1
2017,01,La Sultana,Residencial,3,13.54,2025
2017,09,Vereda Alto del Zarzo,Comercial,Comercial,26,1
2017,06,Bosques del Norte,Comercial,Comercial,3,7
2017,10,VillaHermosa - La Playa,Residencial,2,12.91,1718
2016,03,Vereda El Guineo,Rural,2,18.8,5
2018,03,Chachafruto,Residencial,5,18,1
2017,11,El Trebol,Residencial,2,18,2
2016,10,Vereda Java,Industrial,Industrial,2.33,3
2016,01,Villa Nueva,Residencial,2,3,1
2016,04,Centenario,Residencial,1,14.57,81
2017,04,Vereda La Pola,Rural,1,10.11,44
2016,12,El Sol,Residencial,4,10.23,729
2016,01,las Colinas,Residencial,3,13.88,600
2016,07,La Enea,Residencial,4,10.41,500
2016,01,Caserio La Enea,Residencial,3,0,3
2017,11,CampoHermoso (Univ. Mzles),Residencial,4,10.69,1977
2016,04,Vereda La Siria,Rural,1,6.78,9
2018,04,La Asuncion,Oficial,Oficial,26.2,5
2017,08,Vereda Cascarero,Rural,2,11.5,2
2016,07,Aguacate,Residencial,1,8.33,42
2018,06,Zona Industrial,Residencial,2,19.24,46
2017,04,Palogrande,Servicios Especiales,Servicios Especiales,4.86,7
2018,04,Vereda La Violeta,Rural,3,9,9
2016,09,Vereda Cascarero,Rural,2,5,2
2018,05,Arboleda,Comercial,Comercial,12.88,43
2016,10,Vereda Cuchilla del Salado,Servicios Especiales,Servicios Especiales,11,1
2016,01,Vereda Patio Bonito,Residencial,1,75,1
2017,04,Vereda La Linda,Rural,4,14.57,7
2016,11,Vereda La Trinidad,Rural,2,18.28,18
2018,03,Belen,Residencial,5,11.58,306
2016,01,Bajo Prado,Comercial,Comercial,10.67,3
2018,05,San Marcel,Residencial,5,11.36,129
2017,04,Vereda Manzanares,Rural,2,8.18,33
2017,08,Vereda Agua Bonita,Rural,1,13.88,26
2017,09,VillaLuz,Residencial,2,12.99,230
2017,08,Vereda La Cabaña,Rural,5,14.51,37
2016,03,Urbanizacion Santos,Residencial,3,5.67,12
2017,12,Puerta del Sol,Suministro a Constru,Suministro a Constru,163,2
2018,06,Baja Suiza,Residencial,4,9.14,50
2018,04,El Porvenir,Residencial,2,11.15,439
2018,02,La Estrella,Servicios Especiales,Servicios Especiales,26.92,12
2016,01,Arrayanes,Residencial,4,7.02,93
2016,03,Colseguros,Oficial,Oficial,93,1
2016,03,Velez,Servicios Especiales,Servicios Especiales,33,4
2016,11,Betania,Residencial,2,13.97,66
2016,10,Villa Café Etapas I - II,Residencial,3,9.8,455
2017,09,Camelia,Oficial,Oficial,881.75,4
2017,08,20 de julio,Residencial,1,14.89,216
2017,07,El Carmen,Residencial,3,11.44,80
2016,01,Kennedy,Servicios Especiales,Servicios Especiales,3,1
2017,12,Vereda Bajo Tablazo,Rural,1,14.4,98
2016,12,Baja Leonora,Residencial,4,2,1
2017,08,Vereda La Cabaña,Suministro a Constru,Suministro a Constru,135.6,5
2017,11,Centro,Comercial,Comercial,17.73,1609
2017,01,San Sebastian(III Etapa),Oficial,Oficial,4,1
2017,11,Guayacanes,Oficial,Oficial,143,1
2018,01,La Florida,Residencial,1,8.89,27
2018,05,Vereda La Cabaña,Rural,1,7.09,106
2018,03,Kennedy,Residencial,2,12.35,567
2017,04,La Cumbre,Servicios Especiales,Servicios Especiales,7,1
2018,02,20 de julio,Oficial,Oficial,38,1
2018,04,Vereda Patio Bonito,Residencial,1,61,1
2017,09,La Carola,Residencial,2,13.39,379
2016,01,La Estrella,Residencial,5,9.53,345
2016,03,Vereda La Cabaña,Oficial,Oficial,30.33,9
2016,11,El Carmen,Oficial,Oficial,96,4
2016,08,La Argentina,Residencial,3,13.22,441
2016,11,Vereda Alto Tablazo,Industrial,Industrial,156.5,4
2017,06,El Trebol,Industrial,Industrial,21,1
2016,11,Vereda Manzanares,Rural,4,1,2
2018,05,Bengala,Residencial,2,9,499
2016,07,Alhambra,Residencial,2,43,2
2017,10,Vereda La Pola,Rural,2,23.67,9
2018,03,Altos de Capri,Suministro a Constru,Suministro a Constru,305,1
2017,08,Vereda La Trinidad,Comercial,Comercial,6.5,2
2016,05,Chipre,Residencial,1,14.67,3
2017,11,Vereda La Palma,Rural,2,12.6,90
2016,03,Velez,Residencial,4,10.36,430
2016,07,San Sebastian(III Etapa),Oficial,Oficial,78,1
2017,12,Caserio La Enea,Residencial,4,8.03,35
2017,11,Asturias,Oficial,Oficial,31,1
2018,04,La Toscana,Industrial,Industrial,1928.5,2
2016,02,Vereda Bajo Tablazo,Suministro a Constru,Suministro a Constru,1,1
2016,05,San Cayetano,Residencial,2,12.4,976
2017,10,La Estrella,Oficial,Oficial,95,4
2017,09,Sinai,Residencial,2,10.42,707
2017,01,Vereda La Aurora,Oficial,Oficial,2,3
2018,05,Zafiro,Residencial,1,7.15,48
2018,03,San Jose,Comercial,Comercial,17.76,33
2017,05,Alta Suiza,Residencial,1,2.33,6
2017,10,Juanchito,Residencial,2,7.5,2
2017,07,Arboretes,Residencial,5,16.5,2
2016,10,Colombia,Residencial,2,13.35,108
2017,03,La Rambla,Comercial,Comercial,17.96,102
2016,08,Arrayanes,Residencial,1,11.56,73
2016,05,Santa Helena - Conjunto La Estacion,Residencial,6,10,1
2016,04,La Sultana,Industrial,Industrial,9,1
2017,07,las Delicias,Servicios Especiales,Servicios Especiales,4,2
2018,03,Uribe,Comercial,Comercial,9.52,33
2016,04,El Carmen,Residencial,1,13.11,610
2017,11,Centro,Residencial,4,11.95,479
2017,11,Vereda Alto del Naranjo,Rural,3,10.5,10
2017,02,Kennedy,Residencial,1,22.33,3
2017,09,Vereda El Chuzo,Rural,1,7.48,21
2017,04,Lleras,Residencial,6,7.12,84
2018,06,Vereda La Aurora,Rural,2,13.71,105
2016,09,Centro,Comercial,Comercial,19.25,1609
2017,09,La Francia,Residencial,4,11.52,29
2018,06,Kennedy,Oficial,Oficial,30,4
2017,12,Fanny Gonzalez,Residencial,1,21,1
2018,03,Santa Helena - Conjunto La Estacion,Comercial,Comercial,42.21,39
2018,03,Vereda Cueva Santa,Comercial,Comercial,12.5,2
2017,03,Centenario,Residencial,4,10,1
2018,06,Vereda La Trinidad,Residencial,4,48.67,3
2018,05,San Ignacio,Residencial,2,15.25,167
2017,03,Residencias Manizales,Industrial,Industrial,12,1
2016,01,CampoAmor,Residencial,3,16.59,1148
2016,11,Santa Helena - Conjunto La Estacion,Residencial,5,9.76,189
2017,06,Centro,Residencial,4,13.1,478
2017,05,Tejares,Residencial,6,12.96,126
2018,05,San Sebastian (I - II Etapa),Residencial,2,9,3
2018,05,Santa Helena - Conjunto La Estacion,Suministro a Constru,Suministro a Constru,80,1
2018,03,San Joaquin,Servicios Especiales,Servicios Especiales,49.4,5
2016,05,La Florida,Residencial,1,9.64,28
2017,01,Fundadores,Comercial,Comercial,14.68,60
2016,01,La Asuncion,Comercial,Comercial,12.11,19
2017,12,Vereda La Manuela,Rural,3,0,1
2016,03,Vereda Minitas,Rural,1,10.06,18
2018,07,San Jose,Residencial,2,16.14,126
2018,03,Vereda Quiebra de Velez,Industrial,Industrial,12,2
2018,04,Colinas del Viento,Residencial,6,0,1
2016,01,Sierra Morena,Residencial,2,4.57,7
2016,11,La Isla,Residencial,2,11.49,35
2016,09,Vereda La Linda,Rural,2,12.65,116
2017,06,Guayacanes,Comercial,Comercial,19.92,130
2017,10,El Bosque,Residencial,3,14.46,1477
2016,07,Vereda La China,Residencial,4,43,1
2018,03,Sacatin,Residencial,2,15.09,132
2017,08,Vereda El Arenillo,Industrial,Industrial,11,5
2018,04,Granjas de Estambul,Residencial,2,7.5,2
2016,08,Fatima,Servicios Especiales,Servicios Especiales,48.75,4
2016,09,Vereda Manzanares,Rural,1,9.05,42
2016,06,Centenario,Rural,2,14.15,13
2016,11,Vereda La Siria,Rural,1,6.17,12
2018,02,Alta Suiza,Industrial,Industrial,3164.43,7
2017,12,Colombia,Oficial,Oficial,12.5,4
2018,03,Vereda La Trinidad,Rural,1,5.61,18
2016,08,VillaCarmenza,Residencial,3,15.8,5
2016,02,Sacatin,Rural,3,6,1
2017,01,Vereda Quiebra del Billar,Rural,2,7,2
2017,12,Vereda Manzanares,Oficial,Oficial,8.5,2
2018,05,Vereda Morrogordo,Rural,4,10,1
2016,06,Vereda La China,Rural,2,16.83,12
2016,05,La Enea,Residencial,3,12.12,3824
2016,02,La Carola,Suministro a Constru,Suministro a Constru,118.33,3
2016,05,La Leonora,Oficial,Oficial,44,2
2016,05,Vereda La Linda,Rural,4,20.17,6
2018,02,Chipre,Residencial,3,10.71,583
2017,05,Prado,Residencial,2,0,1
2017,03,La Enea,Residencial,4,10.43,500
2017,05,Los Cedros,Residencial,3,12.14,408
2016,12,El Trebol,Industrial,Industrial,373,1
2016,06,Aranjuez,Residencial,2,11.68,71
2016,11,La Sultana,Residencial,4,15.25,16
2017,12,Velez,Oficial,Oficial,160,1
2016,02,Lleras,Residencial,6,7.73,84
2017,10,CampoHermoso (Univ. Mzles),Suministro a Constru,Suministro a Constru,82.5,2
2016,10,Fatima,Residencial,2,13.3,159
2018,05,CampoHermoso (Univ. Mzles),Oficial,Oficial,68.75,4
2017,03,Vereda Farallones,Rural,5,34,1
2018,01,El Trebol,Residencial,1,32.5,2
2016,10,Fanny Gonzalez,Residencial,3,12.59,164
2017,06,Vereda Guacas,Rural,4,7.75,4
2018,01,Milan,Residencial,5,8.7,612
2017,05,San Antonio,Industrial,Industrial,3,1
2017,05,El Campin,Residencial,4,10.87,246
2018,04,Vereda El Arenillo,Rural,2,13.99,107
2016,08,Centenario,Residencial,4,6,1
2018,02,Milan,Residencial,5,8.83,612
2016,09,Vereda El Arenillo,Comercial,Comercial,157.33,3
2016,03,Arrayanes,Residencial,1,11.63,73
2018,06,Camelia,Residencial,4,7.36,14
2017,01,Vereda Agua Bonita,Comercial,Comercial,28,1
2016,07,Vereda La Francia,Rural,2,8.71,17
2016,09,San Marcel,Servicios Especiales,Servicios Especiales,503.4,5
2016,07,La Panamericana,Comercial,Comercial,20.8,95
2017,04,Nevado,Oficial,Oficial,39,5
2016,04,CampoHermoso (Univ. Mzles),Residencial,3,13,224
2016,07,Vereda La Linda,Industrial,Industrial,64,2
2016,08,las Delicias,Residencial,3,15.12,106
2016,07,Vereda Morrogordo,Rural,2,10,10
2017,12,La Toscana,Residencial,1,41.5,2
2017,06,Sacatin,Rural,2,3,1
2016,10,Vereda La Aurora,Oficial,Oficial,6.33,3
2017,10,Lleras,Residencial,3,12.7,216
2016,03,Uribe,Residencial,3,11.22,503
2017,07,Vereda San Peregrino,Industrial,Industrial,32,6
2017,03,Chipre,Residencial,5,8.76,25
2016,06,La Francia,Comercial,Comercial,28,3
2017,07,Alta Suiza,Residencial,1,2.83,6
2016,02,CampoAmor,Comercial,Comercial,8.58,43
2017,04,San Marcel,Residencial,6,10.91,210
2017,05,Nevado,Oficial,Oficial,24.2,5
2018,05,CampoHermoso (Univ. Mzles),Residencial,1,14,49
2018,03,Vereda El Arenillo,Industrial,Industrial,18.6,5
2017,12,La Sultana,Residencial,3,14.19,2052
