ANIO,ESTRATO,PROMEDIO
2017,2,1.68
2017,3,13.75
2017,4,20.34
2018,3,5
2016,4,10.25
2017,2,13.32
2016,1,1.89
2016,3,22
2016,1,4
2018,3,17
2018,4,15.5
2016,2,18.68
2018,3,12.34
2018,1,7.44
2016,3,13.8
2018,3,13.36
2016,3,86.5
2017,3,10.29
2018,4,8.83
2016,1,14.18
2018,2,13.06
2017,2,1
2017,5,6
2017,6,17.07
2018,1,14.37
2016,3,26
2017,1,5.25
2018,2,3.75
2017,3,12.72
2018,2,19.33
2018,4,12.75
2017,1,5.62
2017,3,9.58
2018,2,13.72
2017,5,10.8
2018,6,11
2017,6,9.84
2016,4,6.67
2018,4,7.76
2017,1,18
2017,4,10.03
2016,2,7
2016,3,12.89
2018,4,9.09
2017,2,7.5
2018,2,11.19
2016,1,13
2017,4,6
2017,3,11.7
2017,3,8.11
2016,2,18
2016,4,12.53
2016,5,9.63
2017,4,14.47
2016,2,12.22
2018,5,6.5
2017,2,14.15
2017,3,11.73
2016,3,13.32
2017,6,32
2017,1,4
2018,1,21
2018,1,6.43
2016,3,12.51
2017,5,11.18
2016,3,5.86
2016,3,7.61
2016,2,2
2017,3,13.45
2017,2,1
2016,3,22.8
2018,2,3.25
2017,5,8
2016,4,8
2017,4,13.39
2017,3,5.5
2017,1,14.27
2017,3,13.17
2018,3,13.25
2018,1,18
2016,1,11.52
2017,4,12.64
2016,2,5
2017,4,10
2017,5,18
2016,4,20.75
2017,2,20.74
2017,2,6.02
2016,4,7.97
2018,5,11.04
2018,2,11
2017,2,1
2016,1,18
2016,1,10.14
2018,4,16
2016,1,5.6
2017,2,12.51
2017,3,14.2
2016,2,4.66
2016,6,12.34
2017,3,12.98
2017,4,23
2018,1,4
2017,2,13.48
2017,1,7.2
2016,2,6.5
2016,2,11.79
2017,6,7.63
2016,2,19.32
2017,2,14.67
2018,3,11.5
2017,2,8.75
2018,3,11.73
2018,3,10.75
2018,1,7.15
2017,2,17.36
2016,2,11.78
2016,2,12.14
2017,5,9.1
2017,3,12.16
2018,4,9
2016,2,17
2017,5,10
2016,2,11.5
2016,3,12.87
2016,3,2
2017,5,11.75
2018,2,12
2016,5,12
2016,4,1
2016,3,6.61
2018,5,10.8
2016,2,22.67
2016,2,2
2018,3,10.8
2016,3,4
2017,1,18.67
2016,3,16
2016,2,11.2
2017,2,14.64
2016,2,22.5
2017,4,6
2016,2,7.73
2016,2,6
2016,1,9.51
2018,4,12.4
2017,2,8.57
2018,3,14.45
2016,2,6
2016,2,13.4
2017,3,1
2016,5,12.25
2016,4,11.69
2018,4,15.15
2017,3,5
2017,1,10
2017,4,4.67
2017,1,10.17
2017,4,11.66
2016,2,14
2018,2,7.1
2018,3,20
2017,3,5.5
2016,6,10.22
2017,1,8.33
2016,5,15.18
2016,1,13.14
2016,3,10.7
2016,3,5
2016,2,16.84
2017,2,13
2017,5,9
2017,3,13.49
2017,3,0.6
2016,6,37.56
2016,2,7.5
2017,6,7.56
2016,3,24
2017,2,11.82
2017,3,11.07
2016,2,19.29
2017,2,8.25
2016,2,8
2016,5,10.13
2017,6,6
2017,3,13.07
2017,3,11.11
2018,3,2
2016,2,19.33
2016,4,12.28
2016,4,12.15
2017,2,13.94
2016,1,12.77
2017,2,10.1
2016,3,20.8
2017,1,7.36
2018,4,11.2
2017,6,12.48
2016,1,9.67
2016,2,10.74
2017,4,11.19
2017,2,16.83
2016,4,12.51
2016,5,5.38
2017,5,11
2018,3,25
2018,5,5.44
2017,1,4.88
2017,3,9.08
2017,6,10.33
2016,2,11.94
2018,5,14
2016,1,13.21
2018,3,12.37
2016,1,5.79
2016,4,0.5
2017,1,13.56
2018,2,12.83
2016,2,12.34
2017,4,12
2016,2,5
2018,3,15.5
2016,3,13.71
2016,1,6.5
2018,1,12.5
2017,6,15.98
2018,6,9.91
2017,3,4
2016,1,7.03
2016,3,25
2017,2,16.03
2016,3,12.97
2017,3,12.37
2018,4,26.33
2016,3,9.64
2016,6,12.42
2016,3,11.3
2016,2,18.22
2017,3,2.71
2016,2,14.29
2016,3,9.9
2017,3,19.5
2018,3,3.09
2017,3,6.97
2017,2,9
2016,1,13.71
2017,2,15.81
2016,1,4.33
2018,3,58.75
2016,1,12.71
2017,3,10
2016,3,11.3
2018,4,10.83
2017,3,12.5
2017,3,9.39
2018,4,12.17
2017,1,14.05
2016,3,17.55
2016,2,12.92
2018,1,15
2016,2,13.17
2018,1,2.3
2016,3,21.49
2016,4,7.58
2017,3,5.86
2018,2,12.18
2017,2,10.9
2017,3,4.33
2016,3,2.99
2017,1,7.1
2018,1,8
2018,2,12
2016,6,8.64
2017,2,13.69
2017,5,10
2016,3,9.21
2017,4,10.5
2016,5,11.19
2018,2,2
2016,3,15.34
2016,1,19.5
2017,1,14.94
2016,3,7
2016,1,10.86
2016,2,12.29
2017,4,22
2016,3,12.55
2017,4,9
2017,2,17.26
2017,2,11.4
2017,3,12.2
2016,4,10
2017,4,12.63
2016,4,9.2
2018,4,13.22
2016,1,11.28
2018,3,11.5
2016,4,6
2017,4,8
2016,2,10.78
2018,3,76.5
2017,5,15.5
2017,6,11.71
2017,2,10
2016,1,8.62
2016,4,6
2018,1,5.89
2017,1,10.44
2016,5,10.04
2018,6,18
2017,1,10.94
2017,3,12.16
2018,1,8.93
2018,3,16
2016,2,13.29
2016,6,29.46
2018,2,14.4
2017,1,13.95
2016,6,28
2017,3,14.3
2016,6,24.67
2018,6,20
2017,3,15
2017,1,22
2017,4,28.08
2018,3,12.6
2018,3,12.39
2017,1,14.6
2016,3,14.23
2016,3,16.01
2017,3,20.14
2017,1,8
2017,3,13.13
2018,3,13.02
2017,4,6
2017,2,15.3
2016,4,1
2018,1,10
2016,4,11.75
2018,4,90
2016,1,11
2017,6,6.21
2016,3,1
2016,2,13.71
2017,1,10
2017,5,12.16
2017,3,8
2016,2,13.4
2016,3,12.4
2018,4,38
2018,2,12.59
2018,1,10.77
2017,4,11.8
2016,3,13.25
2018,4,3
2017,4,12.4
2016,4,11.1
2016,4,12
2016,3,14.26
2017,5,11.33
2016,3,9
2016,4,4.33
2016,1,10
2016,4,6
2017,3,7
2017,2,15.83
2018,1,21
2017,3,8.41
2016,3,7.66
2016,3,13.5
2017,4,9.83
2016,6,28.2
2016,2,9.62
2018,1,7.3
2017,1,7
2018,3,12.62
2017,1,12
2017,4,4
2018,3,18.06
2017,2,12.62
2018,3,4
2018,2,15
2017,2,12.55
2017,3,14.73
2017,3,7.5
2017,4,13.57
2017,1,6.76
2018,4,2.5
2017,2,13
2016,4,23
2018,1,13.46
2016,2,3
2016,1,7.76
2016,4,8.86
2016,2,10.27
2018,3,8.47
2017,1,11.11
2018,6,9.42
2016,3,11.68
2017,2,12.39
2016,1,9.48
2018,4,11.89
2016,1,15
2016,5,11.76
2017,1,8.99
2016,2,7
2017,3,11.88
2018,3,14.31
2017,3,13.14
2016,1,5.75
2017,1,5.13
2017,1,11
2017,4,12.39
2018,3,10.5
2018,1,3
2016,3,21
2016,3,12.83
2016,2,20.56
2017,2,8.49
2017,4,27.67
2016,1,13.65
2018,3,12.22
2017,6,88.75
2017,4,25.33
2016,2,10
2018,6,13.77
2017,2,22.8
2017,6,10.01
2016,3,11.71
2016,6,11.77
2017,1,19.33
2018,3,11.26
2016,2,7.3
2017,3,9.32
2016,4,10.4
2018,1,11.19
2017,3,29
2016,5,11
2017,3,12.49
2016,2,12.62
2018,4,40
2017,2,11.47
2017,3,10.07
2017,3,14.78
2016,1,5
2016,3,15.33
2016,6,124.75
2016,3,4
2016,5,9.98
2017,2,0.5
2017,2,15
2017,2,40.5
2016,6,9.45
2017,2,10.58
2016,5,10.41
2016,5,12.12
2017,6,11.83
2016,3,2
2018,2,11.63
2017,2,7.45
2017,1,10.67
2017,6,6.65
2017,3,10
2018,5,6.38
2018,1,8.75
2017,3,9.95
2018,2,10.24
2016,3,13.5
2016,1,7.06
2018,3,13.76
2017,2,19
2016,3,13.07
2016,5,9.68
2016,2,6
2017,2,11.94
2017,2,13.9
2016,4,6
2018,3,9.5
2016,1,14.07
2016,4,31.17
2016,1,6
2016,2,13.97
2016,2,20.72
2016,2,6.5
2018,3,12.19
2016,3,16.94
2018,3,14.17
2017,2,2
2017,3,10.89
2018,3,2
2017,1,12.5
2016,3,10.97
2017,3,10.45
2016,1,10.67
2016,4,16.79
2016,1,7.44
2016,3,15
2017,1,13.25
2017,3,13.33
2016,3,12.31
2017,2,7.71
2018,4,4.35
2017,2,16.62
2018,1,6.67
2017,5,12
2018,4,5
2016,5,7.72
2016,2,7.33
2017,2,13.67
2017,6,19.18
2018,4,12.4
2016,2,9.33
2016,5,6.74
2016,1,11.76
2016,3,32
2017,2,8
2016,3,9.78
2018,4,15.6
2018,4,52
2017,1,9.56
2016,1,5.25
2018,6,20.61
2017,4,14
2017,2,7.36
2018,2,7.2
2016,4,12
2016,1,4.5
2017,3,16.5
2016,2,16.26
2016,4,10.64
2017,6,6.79
2018,2,9
2017,2,10
2016,3,14.88
2018,2,11.89
2017,1,4
2017,1,11.91
2017,2,13.27
2016,2,11
2017,3,14.36
2018,2,11.84
2018,4,8.91
2016,2,15.05
2017,2,2.21
2017,1,11.37
2018,1,18
2016,5,23
2017,2,15.23
2018,3,11.06
2018,1,13.67
2018,5,20
2016,5,12.27
2018,1,12.78
2016,5,19.5
2018,3,29.8
2017,3,20.27
2017,5,11.02
2016,3,14.4
2016,2,13.92
2016,4,7.24
2016,2,13.59
2017,2,16.46
2016,3,12.31
2016,3,13.43
2016,6,90.5
2018,1,6.31
2016,2,12.2
2017,1,10.94
2017,1,12.42
2018,3,8.75
2018,5,11.1
2016,2,4
2017,6,29
2016,3,14.5
2017,3,17
2017,3,16.5
2017,5,9.66
2017,1,9.11
2018,1,9.1
2016,6,6
2016,1,10.61
2016,1,3
2018,2,3
2018,4,8
2017,2,15.5
2017,3,13.5
2018,6,9.43
2017,1,4
2016,3,16.04
2016,3,10.05
2016,1,16
2018,6,8.39
2016,6,8.1
2017,2,6.27
2016,2,13.68
2018,3,14.14
2018,2,7.67
2016,1,9
2016,3,1
2018,2,27.33
2016,1,8.06
2016,6,13.48
2016,2,23.5
2017,6,15.75
2016,4,7.8
2016,2,14.81
2016,1,16.67
2016,2,43.42
2018,2,13
2016,3,23.5
2018,2,17.2
2017,2,12.16
2017,4,8.6
2017,1,10.16
2017,2,10.25
2017,2,11.49
2016,1,11.25
2018,1,32
2016,1,10.5
2017,2,13.28
2016,4,9.69
2016,3,10.76
2017,4,9.31
2018,2,4.36
2016,6,20.08
2016,3,9.95
2016,3,13.33
2018,1,5.56
2016,2,25.55
2016,2,12.1
2018,2,10.58
2016,1,12.17
2017,3,11.55
2016,3,12.38
2018,1,12
2018,3,16.05
2016,4,9.89
2018,4,12.01
2016,2,15.68
2016,3,8.19
2016,4,9
2018,3,4
2016,1,14.14
2017,4,7.5
2017,1,12.24
2016,3,13.45
2017,4,8.5
2016,2,12.58
2017,4,9
2016,4,2
2016,4,3
2018,3,23
2016,5,7
2016,1,6.44
2017,3,16.5
2018,1,9.51
2016,5,9.27
2018,3,12.38
2018,3,10.74
2017,3,22.25
2017,3,15
2017,3,13.45
2018,1,13.09
2017,1,10.5
2018,3,13.3
2017,4,10.58
2016,3,12.56
2017,1,5
2016,5,10.9
2016,2,13.27
2017,2,16
2017,1,12
2018,1,2.28
2016,3,9.96
2016,1,14.1
2016,3,12.56
2018,1,5
2016,1,11.17
2017,6,9.93
2017,2,5.5
2016,3,4.91
2017,1,13.91
2017,2,17
2016,2,16.2
2018,3,11.93
2017,1,9.28
2017,2,14.11
2016,1,14
2016,3,6.71
2016,1,13
2016,3,14.67
2018,3,12.79
2016,5,8.86
2018,4,10
2016,4,6
2016,1,13
2016,1,5.34
2017,3,2
2016,4,14.1
2017,1,20.17
2017,1,9.2
2016,2,11
2016,3,7.69
2016,3,14.67
2017,4,15.6
2016,4,19.93
2016,4,5.07
2016,3,29
2018,1,18.67
2016,2,15.56
2018,5,32.57
2017,2,5.67
2018,3,1
2016,2,14.5
2017,5,10.42
2017,3,9.61
2016,4,12.43
2017,2,8.53
2016,1,12.13
2018,5,11.62
2018,4,12.75
2016,2,12.69
2016,6,8
2016,1,11.11
2017,1,10.8
2017,2,14.86
2018,1,10
2017,5,11.71
2016,2,12.79
2017,2,14.76
2017,2,10.5
2017,3,8.5
2017,1,10.38
2017,6,9.94
2016,3,13.92
2016,1,12.95
2016,2,17.59
2016,1,13.4
2016,4,47.5
2016,1,11.45
2018,6,15.45
2017,5,10.3
2017,1,14
2017,1,11.24
2017,2,12.76
2018,2,10.33
2017,1,12
2018,2,13.47
2017,1,11.32
2017,3,41
2016,2,16.11
2017,1,19
2016,2,5
2017,1,8.23
2016,4,13.89
2016,5,14.83
2016,2,14.15
2016,5,11.79
2018,3,12.12
2017,3,12.77
2016,3,10.83
2016,1,9.18
2017,2,14
2017,3,12.6
2017,2,13.64
2017,6,11.03
2018,3,15.2
2018,1,22
2018,2,13.02
2017,3,10.94
2016,3,8.96
2017,3,14.33
2016,3,14.83
2017,4,4.4
2017,6,14.49
2016,4,7.56
2017,4,11.78
2017,4,89
2018,3,26
2016,2,10.17
2018,2,12.8
2017,4,12.56
2016,6,8.06
2017,1,20.67
2016,6,2
2017,4,266
2016,2,9.78
2017,4,10.85
2017,1,8.5
2018,2,19
2016,3,57.5
2018,1,9.93
2016,1,14.33
2017,1,10.94
2017,3,12.63
2018,3,11.79
2017,4,13.05
2016,3,11.95
2017,6,7.4
2017,3,81
2016,3,11.55
2017,2,38
2017,6,2
2017,3,8.43
2016,1,6.7
2016,2,11.67
2017,5,13.8
2018,1,10.29
2017,1,6.59
2017,1,7.4
2017,5,21
2018,2,9.94
2017,3,23
2017,3,13.52
2016,5,33.83
2017,4,9.88
2016,2,9.04
2018,1,13.65
2016,5,7.88
2017,2,21
2016,5,9.82
2016,4,11.91
2016,2,19
2016,4,14.67
2016,1,7
2017,1,20
2016,1,7.34
2016,1,7
2016,5,18.7
2018,1,18.5
2018,1,11.31
2018,2,14.88
2017,6,12.65
2016,5,6.13
2016,1,9.57
2017,2,13.39
2018,4,8.18
2017,2,20
2017,1,4.06
2016,4,8
2017,2,22.1
2016,2,14.24
2016,5,6.74
2016,2,15.22
2017,1,2.25
2017,1,13
2017,2,11.85
2016,2,78
2017,3,7.49
2016,2,12
2018,2,1
2016,5,26.43
2016,2,5
2017,2,18.6
2017,4,50
2017,1,9.89
2016,3,12.49
2016,6,10.99
2017,2,10.95
2017,1,9.42
2017,4,13.52
2017,3,10.27
2016,2,11.93
2018,4,10.38
2017,2,6.5
2017,4,5.33
2016,3,9.55
2017,1,4.56
2016,6,8.57
2017,1,14.53
2018,1,9.48
2018,3,11.31
2016,3,41
2016,5,9.01
2017,1,7
2016,2,9
2016,2,13.19
2016,2,17.55
2017,6,9.51
2017,1,10.36
2018,3,10.55
2016,3,11.27
2016,5,11.31
2018,4,8.52
2016,4,19.67
2016,4,9.75
2017,2,1
2017,4,7.67
2017,2,14.71
2016,2,4
2017,3,7.83
2017,1,6.45
2017,2,14.31
2017,3,11.14
2016,1,11.49
2016,2,16.18
2018,5,24
2017,3,9.77
2017,5,9.1
2018,2,10.1
2017,5,26
2017,2,8.25
2017,3,10.73
2016,1,4
2018,3,10.9
2017,3,13.3
2016,1,12.81
2017,1,12.54
2017,1,3
2017,1,8
2018,1,3
2017,2,15.25
2016,2,7.67
2017,2,10.29
2018,1,8.5
2017,3,15.63
2017,2,8.77
2018,1,11.23
2018,3,10.8
2017,2,11.17
2016,3,30
2017,1,4.81
2016,6,12.67
2017,2,5
2016,2,9.33
2016,3,10.8
2018,2,30
2017,6,12.62
2017,1,7.58
2016,4,12.09
2017,1,14.96
2016,4,10.99
2017,2,14.14
2018,1,12.33
2016,4,8.73
2017,4,33
2017,1,11.03
2018,4,12.33
2016,4,10.78
2016,4,12.79
2016,1,16.5
2018,1,6.82
2017,6,10.1
2017,5,26
2016,1,8.13
2017,5,8.42
2018,1,73
2016,3,12.19
2018,1,10.89
2018,3,6.65
2018,1,11.88
2017,2,3
2016,5,4
2017,2,10.92
2018,3,14
2018,1,11.77
2017,1,3.6
2018,6,9.13
2016,3,10.33
2016,3,14.8
2016,1,18
2016,1,9.83
2016,4,8.96
2016,1,1.3
2017,5,17.23
2018,1,3.64
2018,2,13.78
2018,2,4.48
2016,3,9.12
2017,2,7.51
2016,2,16.33
2017,3,102
2017,2,7
2017,6,7
2017,3,12.92
2016,2,15.38
2018,2,8
2017,3,13.67
2017,1,65
2017,3,5.33
2018,2,10.94
2018,5,9.26
2016,2,13.97
2016,2,12.46
2016,4,100
2016,2,13.38
2016,2,10.02
2016,5,9.29
2017,3,14.06
2017,2,12.71
2016,1,10.47
2018,2,8.5
2016,3,23.74
2016,4,11.77
2018,4,205
2016,5,11.64
2016,6,11.32
2016,1,8.07
2016,2,20.67
2018,4,37.33
2016,3,7
2017,1,12
2018,3,11.45
2017,3,9
2017,4,5
2017,1,16.67
2017,5,10.5
2017,3,5.13
2018,6,9.8
2016,1,17.29
2017,4,18.81
2018,2,3.7
2016,1,10.17
2017,2,13.31
2018,3,9.12
2016,1,12.94
2017,2,27
2017,3,15.08
2016,5,26.57
2016,3,14.7
2017,3,1
2016,2,11
2018,5,9.42
2016,3,13.08
2017,4,13
2017,2,37
2017,1,5
2017,3,11.81
2018,1,9.27
2017,6,9.34
2017,3,10.8
2016,1,4
2017,2,14.86
2017,5,11.15
2017,2,13.94
2016,1,8.36
2017,6,10
2017,3,10.68
2017,1,31.5
2016,1,24
2016,6,19
2016,3,10.46
2017,5,26.5
2016,2,11.48
2016,3,13.55
2017,6,8
2016,1,8
2016,6,10.33
2017,5,8.81
2017,4,14.24
2018,2,11.84
2016,3,13.49
2016,5,8.99
2018,3,12.36
2018,3,5.04
2016,2,14.03
2018,1,13.88
2016,2,12
2017,6,8.64
2016,1,8.1
2017,2,12.31
2018,2,12.41
2017,1,11.38
2017,4,9.98
2018,1,2
2016,4,17.83
2017,5,15
2018,1,8.33
2018,1,11.09
2017,3,12.2
2018,2,13.23
2017,2,13.83
2017,1,6
2017,1,13
2016,1,9
2016,1,7.93
2017,6,9.42
2017,4,11.2
2018,2,5.5
2017,2,16.76
2016,6,42
2017,4,18.06
2016,4,10.79
2017,2,11.44
2016,1,8.51
2017,2,12
2016,4,14.25
2018,2,17
2017,6,4
2017,3,4.96
2016,1,13.53
2017,3,11.89
2016,1,11.86
2017,2,6.93
2018,3,10.94
2016,1,8.47
2018,1,9.82
2018,1,14
2018,3,9.6
2016,4,21
2016,1,10.08
2017,4,9.34
2018,5,53
2017,2,13.23
2017,2,13.5
2016,4,12.03
2018,2,6.5
2016,4,6.76
2016,4,9.4
2018,5,17
2016,6,8.05
2016,2,15.2
2018,1,2
2016,4,18.79
2016,2,16.88
2017,5,13.52
2018,2,30.5
2016,1,13.33
2016,1,7.73
2017,3,15.95
2017,4,3.5
2016,3,9.87
2017,1,14.42
2017,3,3.08
2018,3,2
2017,2,21.08
2018,4,2
2017,4,11.69
2018,2,2
2016,1,11
2017,5,9.38
2017,2,13
2016,1,14.23
2017,4,1
2017,3,11.22
2016,4,2.5
2017,3,12.25
2017,4,11.9
2017,6,9.8
2018,1,2
2017,1,14.67
2016,1,4.37
2016,3,18
2017,2,11.07
2017,3,7
2018,1,14.5
2017,3,14.35
2018,3,12.56
2017,3,11.99
2017,3,10.38
2017,1,7.36
2016,4,13.02
2017,1,18.3
2017,1,5.7
2016,4,6.5
2016,2,12.62
2017,1,3.25
2016,2,10.6
2016,2,14.93
2018,1,12.35
2017,4,11.16
2016,4,11.4
2018,3,15.88
2016,3,13
2016,2,9.13
2017,3,13.27
2017,1,11.33
2017,1,12
2016,1,9.23
2016,1,6.32
2018,4,4
2017,4,9.69
2016,1,7.83
2016,4,11.74
2016,1,10.16
2016,2,16
2017,2,11.05
2016,2,10.86
2016,2,10.77
2018,4,88
2018,2,13.16
2017,2,9.08
2017,1,19
2017,1,7.11
2016,3,12.48
2017,3,11
2017,1,8.31
2017,5,13
2016,1,15.49
2016,4,22
2016,6,16.71
2016,2,15.09
2016,1,19.5
2018,4,10.77
2017,3,42
2016,6,7.15
2017,3,6.88
2017,3,7.74
2016,5,7.53
2018,1,10
2017,2,16.64
2017,2,17.43
2017,1,6.71
2017,3,11.4
2017,3,8.67
2017,4,14.15
2016,4,64
2017,4,28.5
2017,2,11.58
2017,3,13.62
2018,3,14
2016,1,10.83
2016,3,13.35
2017,1,10.55
2017,1,10.84
2017,2,7.67
2018,3,14
2016,1,6
2017,1,43.5
2018,1,3.2
2016,3,31
2016,2,14.92
2017,2,10.8
2018,3,13.2
2017,2,12.16
2018,3,19
2016,2,11
2017,2,16.2
2017,4,15.8
2017,2,1.89
2017,3,3.28
2017,2,10.85
2016,1,5.39
2018,2,11.61
2017,2,9
2016,4,22.25
2016,2,17
2016,1,9.72
2017,1,12.71
2017,2,13.81
2017,6,20.3
2017,2,16.18
2017,2,1
2016,6,32.7
2017,2,31.5
2017,2,8.5
2018,1,67
2017,1,13.68
2017,2,9.8
2016,3,9.01
2017,6,7.7
2016,1,10.25
2017,1,9.53
2016,1,18.42
2016,3,7
2017,2,12.65
2016,2,15
2017,2,19.2
2016,5,20
2016,4,9.78
2016,3,10.19
2016,4,11.58
2018,4,9.51
2016,2,11.3
2016,1,10.52
2017,4,1
2017,3,15.43
2017,4,13.62
2017,2,8.33
2016,6,10.75
2017,5,9
2017,3,39
2018,1,14.5
2017,2,11.52
2017,3,4
2016,4,3
2017,3,11.4
2016,1,16
2017,1,11.71
2016,2,10
2017,2,4
2017,2,11.31
2016,4,9.5
2018,3,13.34
2016,1,6.33
2016,1,13.65
2016,2,16.97
2017,3,23
2016,2,10
2016,3,29
2016,4,16.62
2016,1,9.87
2018,3,9.27
2016,1,8.5
2017,2,16
2016,4,10.51
2017,3,13.78
2017,4,9.99
2016,3,12
2017,2,4
2017,2,12.25
2017,3,19.47
2016,4,19.87
2016,3,16.2
2016,1,11
2016,3,7
2016,1,19
2017,2,10.13
2016,3,9.78
2016,6,16.39
2017,1,11.33
2017,1,9
2018,3,11.38
2016,4,5
2017,4,6.74
2016,2,13.4
2017,1,6.38
2016,4,19.86
2017,4,21.7
2017,2,15.35
2017,5,11.6
2016,2,12.27
2017,2,12
2016,3,23
2016,1,9.47
2016,3,14.12
2018,4,10.9
2018,1,11.67
2017,3,6.7
2017,3,9.7
2016,3,14.5
2018,4,35
2017,2,17.57
2017,2,8.99
2017,6,15
2017,4,13
2017,2,15.87
2018,1,0.5
2016,6,10.72
2018,2,9.35
2017,5,1
2018,3,2
2017,2,12.06
2016,3,15
2016,4,9
2016,1,12.43
2016,2,17.11
2018,5,5.69
2017,2,4
2016,4,9
2017,4,11.42
2017,3,12.47
2016,3,6.74
2018,3,10
2016,2,19
2016,3,12.89
2018,1,20
2018,1,12.6
2016,4,15.5
2018,3,8.03
2018,4,8.76
2016,3,15.47
2017,4,10
2016,1,14.8
2016,4,7.18
2018,4,5
2017,4,19
2016,6,8.62
2016,2,15.11
2017,5,7.83
2017,3,12.03
2016,2,13.2
2016,1,13.82
2016,1,8.82
2017,1,7.67
2017,1,10.2
2016,4,94
2018,4,25
2016,1,15.1
2017,2,6.33
2016,3,20.94
2017,4,207
2018,2,74
2017,4,6.55
2016,3,13.67
2017,1,16.5
2016,6,11.34
2017,3,12.5
2017,3,5
2016,6,11.34
2016,3,2
2016,2,13.2
2017,2,12.54
2016,2,5
2017,6,10.15
2016,2,9.4
2017,1,15.37
2018,5,6.84
2017,1,10.6
2016,3,14.56
2016,5,11.82
2017,1,12.55
2017,3,10.51
2018,4,20.75
2017,6,7.07
2016,3,17.67
2017,1,11.75
2017,2,12.42
2016,3,8
2016,2,11
2016,4,7.14
2018,1,6.86
2017,4,16.67
2017,3,13
2017,2,11.36
2017,3,13.18
2017,3,11.17
2016,4,36.5
2016,3,10.31
2017,2,10.72
2018,1,11.67
2016,2,4
2018,3,12.4
2016,2,19.88
2017,1,3.75
2018,2,11.7
2017,6,6.2
2016,6,12.83
2018,3,11.57
2016,1,9.93
2017,1,18
2016,4,12.93
2016,4,3
2016,3,18.69
2016,3,8.6
2016,1,10.26
2018,5,8.3
2016,1,8.67
2016,3,18.13
2016,1,13.65
2017,2,10.73
2018,2,16.21
2016,3,27.42
2018,4,14
2017,4,5
2017,3,10.91
2016,3,5.93
2016,1,7
2016,2,15
2017,3,10.77
2016,2,13.57
2018,4,3
2018,5,16
2018,2,19.5
2017,3,13.95
2016,2,15.12
2016,6,28
2017,3,15.67
2017,1,12.4
2017,2,15.29
2016,4,22
2018,2,21.8
2016,3,16.14
2016,2,14.19
2016,5,23
2018,3,8.78
2016,1,13.5
2017,2,8.83
2018,2,11.52
2018,4,11.84
2017,4,10
2016,6,7.85
2018,4,6
2016,2,15.05
2017,3,1.4
2018,3,42.25
2017,1,13.79
2016,5,7.73
2016,1,11.9
2016,1,10.21
2017,5,9.26
2016,4,25
2016,1,17.33
2018,4,11.5
2016,4,12.85
2018,2,12.18
2016,6,8
2018,3,60
2017,4,17
2017,1,12.29
2016,3,13.22
2016,4,21
2017,1,12
2017,4,5.59
2017,3,2
2016,2,11.09
2018,6,7.29
2016,2,7.67
2016,4,13
2017,2,5.5
2016,3,48
2018,5,10.1
2018,2,9.86
2017,4,8.3
2017,4,7.86
2017,3,10.08
2017,2,11.19
2017,5,8.88
2017,1,11.59
2018,2,8.33
2017,2,9.68
2018,1,2
2017,3,10.47
2016,6,12.44
2017,3,12.38
2017,3,8.3
2016,1,5
2016,4,10.61
2017,3,2
2017,1,6.88
2017,1,10.36
2017,2,13.23
2017,3,20.6
2016,4,44
2017,3,11.95
2017,1,4
2016,2,13.06
2018,2,11.36
2018,1,10.66
2016,5,17.5
2016,3,8.98
2016,1,12.33
2017,3,15.44
2018,3,12.26
2016,3,10.33
2016,3,6.7
2016,3,12.65
2017,1,7.81
2016,6,9.88
2017,4,10.09
2017,2,9.1
2018,2,12.08
2018,6,7.49
2017,2,14
2016,5,24
2016,3,13.4
2017,1,13.17
2016,1,9.77
2017,2,17.76
2016,4,9.93
2017,2,16.84
2016,1,9
2017,3,10.5
2016,2,11.43
2017,6,3
2017,2,12.67
2017,6,18
2017,4,8
2016,3,13.79
2016,2,12.38
2017,1,8.7
2016,2,12.43
2018,1,9.8
2017,4,18
2016,2,12.15
2016,3,23
2016,3,14.28
2018,4,11
2018,3,12.89
2017,4,9.2
2016,3,13.46
2017,4,11.5
2017,6,17.54
2017,1,15.76
2017,3,13.86
2017,2,4
2016,2,10.87
2016,4,9.59
2018,1,2
2016,1,12
2016,1,10.33
2016,4,18
2018,1,8
2017,1,3
2018,4,8.45
2016,2,15.44
2016,4,7.4
2016,3,11.86
2016,3,19.75
2016,4,11.88
2016,1,18
2016,3,11.72
2017,4,13.65
2017,2,14.23
2017,3,17
2016,1,6.89
2017,1,9.33
2016,6,8.48
2018,1,10.25
2018,1,13.63
2016,2,8
2018,1,5.6
2017,3,18.55
2016,1,12.33
2017,2,3
2017,4,1
2018,3,11.84
2017,3,13.5
2017,3,7
2018,6,15.46
2018,3,10.89
2016,3,2
2017,6,12.09
2016,5,12.46
2017,2,14
2017,3,12.6
2018,3,16.4
2018,1,13.65
2017,5,9
2018,6,20.79
2018,3,12.37
2017,4,25.41
2016,4,11.41
2018,3,15.35
2018,1,0.5
2017,2,9.25
2018,3,8.49
2017,6,10.67
2017,2,8.5
2017,4,8
2016,6,10.55
2017,2,12.84
2018,4,5
2016,2,11.62
2016,6,11.67
2017,3,7.62
2017,3,8.6
2017,6,8.93
2017,2,4
2016,1,22
2017,1,11.73
2017,4,2
2017,4,11.54
